obs_times,source_counts,compare_counts,test_counts,source_relative_flux,test_relative_flux
2025-06-29 04:06:10.600,18558.201661249717,211601.0675051621,91160.14985802108,0.08770372418275717,0.43081138924687695
2025-06-29 04:06:27.950,18742.59397249266,214907.96283582173,93380.67187598535,0.08721218946554814,0.43451471338604253
2025-06-29 04:06:45.140,18950.762772670958,213356.7400423544,93342.49133941298,0.08882195504538061,0.4374949266701542
2025-06-29 04:07:02.390,18296.416289863104,211904.3377081088,90269.44094294056,0.086342811514627,0.42599147294135964
2025-06-29 04:07:19.600,18892.034556594608,214531.27427500696,91804.26440495912,0.08806191367873464,0.4279295161752292
2025-06-29 04:07:36.880,18245.018124647042,212354.42782715036,91389.19647861934,0.08591776640277027,0.4303616242605838
2025-06-29 04:07:54.100,18836.5443151709,215533.7624812454,91668.64430356243,0.08739486611435161,0.4253099061987513
2025-06-29 04:08:11.390,18638.707240056763,213805.09277078015,91660.95470837737,0.08717616123409777,0.4287126818192625
2025-06-29 04:08:28.610,19202.797581911793,212646.44572923065,93282.06289997205,0.09030387277840192,0.43867209997363893
2025-06-29 04:08:45.820,19275.29264663643,215842.50302359802,92342.15794087571,0.08930258117201813,0.42782193797474616
2025-06-29 04:09:03.140,19086.09206547055,214501.50176903562,92676.88715199158,0.08897882722528204,0.43205705502137404
2025-06-29 04:09:20.430,19115.997809356202,213818.47400949098,92070.25246573475,0.08940292880636536,0.4306000821128671
2025-06-29 04:09:37.710,19803.471479908072,215582.472026992,94729.3259473444,0.09186030428962044,0.4394110757551932
2025-06-29 04:09:54.930,19378.285036428486,213568.43692587456,92285.1695264891,0.09073571598575829,0.43211052557602175
2025-06-29 04:10:12.160,18914.88027356219,213158.05377952172,92242.13035588313,0.08873640914889681,0.4327405355806683
2025-06-29 04:10:29.420,20067.612935625482,213309.40291387794,91826.59941254742,0.09407748866901863,0.43048547395550923
2025-06-29 04:10:46.740,19718.862842486506,214097.38988155167,92906.91315816023,0.092102303785188,0.43394696782413145
2025-06-29 04:11:04.090,19298.12609667576,214711.58128794498,93683.69945215335,0.08987929752515524,0.43632345721731797
2025-06-29 04:11:21.310,19390.82134344548,213682.38049210678,93194.56478179697,0.0907460002026782,0.43613593487292457
2025-06-29 04:11:38.510,20945.302923431278,213451.53978457986,93549.23304490618,0.09812673614146683,0.43826918812259774
2025-06-29 04:11:55.750,19915.63071932766,214687.55666056683,93568.92898746443,0.09276564990124415,0.43583769102837294
2025-06-29 04:12:13.040,19714.147124303847,212833.89236318826,91748.41031950223,0.09262691625571945,0.43107988723402696
2025-06-29 04:12:30.400,20184.09176516083,213970.54386435414,92518.41814568226,0.09433117007898274,0.4323885730941263
2025-06-29 04:12:47.670,21151.393301553577,213999.67258241816,93180.63548842733,0.09883843767755063,0.43542419651385433
2025-06-29 04:13:04.880,21333.432513684304,213829.8318215274,92971.673385812,0.0997682705539899,0.4347928097488783
2025-06-29 04:13:22.050,20233.617022369144,214315.48083999462,91926.27717396244,0.09441043149596515,0.42892971060076385
2025-06-29 04:13:39.330,21220.646121970825,215633.98632205388,93153.35111020313,0.09841048938490311,0.43199753758239506
